week,date,time,link,name,season,scraped
7 - 13 May 2012,"Monday, May 7 2012",20:00,https://www.whoscored.com/Matches/507272/MatchReport/England-Premier-League-2011-2012-Blackburn-Wigan,Blackburn-Wigan,2011-2012,x
7 - 13 May 2012,"Tuesday, May 8 2012",20:00,https://www.whoscored.com/Matches/507283/MatchReport/England-Premier-League-2011-2012-Liverpool-Chelsea,Liverpool-Chelsea,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507315/MatchReport/England-Premier-League-2011-2012-Chelsea-Blackburn,Chelsea-Blackburn,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507319/MatchReport/England-Premier-League-2011-2012-Everton-Newcastle-United,1Everton-Newcastle United,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507321/MatchReport/England-Premier-League-2011-2012-Manchester-City-Queens-Park-Rangers,Manchester City-Queens Park Rangers1,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507333/MatchReport/England-Premier-League-2011-2012-Stoke-Bolton,Stoke-Bolton,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507335/MatchReport/England-Premier-League-2011-2012-Norwich-Aston-Villa,Norwich-Aston Villa,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507342/MatchReport/England-Premier-League-2011-2012-Sunderland-Manchester-United,Sunderland-Manchester United,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507343/MatchReport/England-Premier-League-2011-2012-Swansea-Liverpool,Swansea-Liverpool,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507352/MatchReport/England-Premier-League-2011-2012-Tottenham-Fulham,Tottenham-Fulham,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507357/MatchReport/England-Premier-League-2011-2012-West-Bromwich-Albion-Arsenal,West Bromwich Albion-Arsenal,2011-2012,x
7 - 13 May 2012,"Sunday, May 13 2012",15:00,https://www.whoscored.com/Matches/507363/MatchReport/England-Premier-League-2011-2012-Wigan-Wolverhampton-Wanderers,Wigan-Wolverhampton Wanderers,2011-2012,x
30 Apr - 6 May 2012,"Monday, Apr 30 2012",20:00,https://www.whoscored.com/Matches/507216/MatchReport/England-Premier-League-2011-2012-Manchester-City-Manchester-United,Manchester City-Manchester United,2011-2012,x
30 Apr - 6 May 2012,"Tuesday, May 1 2012",19:45,https://www.whoscored.com/Matches/507118/MatchReport/England-Premier-League-2011-2012-Liverpool-Fulham,Liverpool-Fulham,2011-2012,x
30 Apr - 6 May 2012,"Tuesday, May 1 2012",19:45,https://www.whoscored.com/Matches/507132/MatchReport/England-Premier-League-2011-2012-Stoke-Everton,Stoke-Everton,2011-2012,x
